Time,El Salvador,Guatemala,Mexico,US
Mar-14,,,,12812
May-14,,,1153,80935
Oct-14,7305,,6401,57778
Nov-14,,,2571,25053
Feb-15,,,,3646
Mar-15,,,2935,15801
Apr-15,85,,1399,3655
May-15,1926,,,4151
Jun-15,2423,,5033,53030
Jul-15,4778,,1499,28329
Aug-15,,,8041,7217
Sep-15,,,5230,19024
Oct-15,,,2028,29223
Nov-15,29,6,5251,23259
Dec-15,12243,140,28302,138603
Jan-16,,,,5597
Feb-16,,,,1292
Mar-16,566,8423,13505,33017
Apr-16,,,893,818
May-16,,,4520,18466
Jun-16,,,3838,
Jul-16,,,288,712
Aug-16,,,,236
Sep-16,,,,12277
Oct-16,1,10950,8365,13525
Nov-16,5323,35836,25085,133599
Dec-16,6706,3206,9752,19788
Jan-17,11795,,4187,220
Feb-17,3751,,,
Mar-17,58,1788,447,1639
Apr-17,67,1172,2357,376
May-17,143,,2091,5753
Jun-17,2847,,1292,4579
Jul-17,,,1414,1432
Aug-17,602,,2058,457
Sep-17,825,,12861,65404
Oct-17,12,,35758,83594
Nov-17,2096,24700,10403,85948
Dec-17,148,4203,3817,19269
Jan-18,,299,15072,606
Feb-18,,,19201,55
Mar-18,73,58,33919,505
Apr-18,,287,1369,144
May-18,,,14,1596
Jun-18,,,5,19729
Jul-18,,,689,36826
Aug-18,,,14375,8782
Sep-18,,,612,23
Oct-18,,,11167,
Nov-18,125,30498,42931,26293
Dec-18,136,2268,25348,5399
Jan-19,1,358,14586,300
Feb-19,,98,87,
Mar-19,,15779,28761,24100
Apr-19,341,100,3073,399
May-19,283,4431,1178,634
Jun-19,,22614,19754,1377
Jul-19,612,64573,6358,423
Aug-19,1140,1451,862,81
Sep-19,184,200,7083,150
Oct-19,29,,13097,912
Nov-19,392,6367,7118,5459
Dec-19,2187,23691,24072,29875
